,KEY_CODE,predicted_2021,predicted_2022,predicted_2023,predicted_2024
2350,0640302005,239,279,250,274
2351,0640302006,141,150,130,156
2352,0640302007,20,13,11,24
2353,0640302008,211,215,193,222
2354,0640302009,186,196,171,197
2355,0640303001,1,0,2,0
2356,0640303002,185,143,137,153
2357,0640303003,5,7,1,2
2358,0640303004,20,13,23,18
2359,0640303005,51,48,57,74
2360,0640303006,138,133,110,152
2361,0640303007,172,118,153,205
2362,0640303008,85,80,77,109
2363,0640303009,317,260,295,341
2364,0640303010,41,29,40,47
2365,0640303011,7,11,12,10
2366,0640303012,116,78,99,131
2367,0640303013,117,71,94,108
2368,0640303014,85,50,75,97
2369,0640303015,65,38,52,56
2370,0640303016,133,70,95,124
2371,0640303017,13,7,1,6
2372,0640304001,36,18,11,31
2373,0640304002,1,0,0,1
2374,0640304005,0,0,0,4
2375,0640304006,49,21,28,67
2376,0640304007,8,4,1,12
2377,0640304008,33,15,23,53
2378,0640304009,30,14,16,45
2379,0640304010,9,13,6,22
2380,0640304011,47,32,20,56
2381,0640304012,0,2,0,2
2382,0640304013,12,7,5,28
2383,0640304014,4,5,1,2
2384,0640304015,62,37,40,33
2385,0642601001,24,27,27,27
2386,0642601002,97,105,102,95
2387,0642601003,227,220,227,210
2388,0642601004,38,42,47,43
2389,0642601005,175,182,183,154
2390,0642601006,351,358,387,352
2391,0642601007,68,65,70,66
2392,0642601008,457,443,472,431
2393,0642601009,218,226,237,229
2394,0642601010,101,108,109,116
2395,0642601011,151,171,164,148
2396,0642601012,238,310,288,242
2397,0642601013,92,110,94,91
2398,0642601014,370,382,401,354
2399,0642601015,309,352,360,336
2400,0642602001,250,263,264,254
2401,0642602002,144,167,174,165
2402,0642602003,200,214,227,212
2403,0642602004,153,189,184,154
2404,0642602005,235,254,273,234
2405,0642602006,97,104,108,99
2406,0642602007,453,455,497,445
2407,0642603001,211,218,235,205
2408,0642603002,228,223,259,236
2409,0642603003,263,274,312,287
2410,0642603004,241,261,316,282
2411,0642603005,244,290,331,255
2412,0642603006,504,547,558,504
2413,0642603007,512,557,606,555
2414,0642801001,647,663,705,657
2415,0642801002,195,198,214,220
2416,0642801003,215,209,239,215
2417,0642801004,165,170,180,156
2418,0642801005,3,4,4,3
2419,0642801006,0,1,0,0
2420,0642801007,174,190,195,184
2421,0642801008,459,515,544,488
2422,0642801009,540,593,604,553
2423,0642801010,429,454,474,453
2424,0642801011,498,504,529,449
2425,0642801012,25,30,29,27
2426,0642801013,186,178,195,180
2427,0642802001,167,163,172,158
2428,0642802002,562,609,649,589
2429,0642803001,9,13,12,10
2430,0642804001,71,26,44,26
2431,0642804002,192,53,203,170
2432,0642804003,85,56,120,94
2433,0642804004,50,32,83,67
2434,0642804005,192,108,185,163
2435,0642804006,164,111,171,148
2436,0642804007,145,112,128,119
2437,0642804008,94,91,90,78
2438,0642804009,127,120,127,107
2439,0642804010,152,99,111,88
2440,0642804011,116,105,125,97
2441,0642804012,137,155,152,122
2442,0642804013,182,168,179,169
2443,0642804014,107,66,106,85
2444,0642804015,6,6,7,6
2445,0642805001,446,479,497,469
2446,0642805002,130,150,163,154
2447,0642805003,416,417,429,397
2448,0642805004,217,212,227,226
2449,0642805005,541,553,584,537
2450,0642805006,438,429,454,439
2451,0642805007,95,102,108,104
2452,0642805008,136,136,140,137
2453,0642805009,152,164,170,166
2454,0642805010,19,21,29,26
2455,0642805011,113,123,125,108
2456,0642805012,31,35,38,30
2457,0642805015,20,21,25,20
2458,0642805016,49,57,50,39
2459,0642805017,48,47,49,48
2460,0642805018,10,13,15,14
2461,0642805019,50,61,59,58
2462,0642805020,642,697,716,667
2463,0642806001,551,615,647,606
2464,0642806002,337,356,376,356
2465,0642806003,523,616,646,579
2466,0642806004,545,625,615,596
2467,0642806005,326,373,375,353
2468,0642806006,114,125,122,121
2469,0642806007,454,508,540,493
2470,0642806008,273,306,318,286
2471,0642807001,140,139,148,139
2472,0642807002,77,82,84,77
2473,0642807003,88,80,95,80
2474,0642807004,227,218,241,229
2475,0642807005,120,129,141,114
2476,0642807006,39,45,49,43
2477,0642807007,51,55,54,54
2478,0642807008,176,184,193,197
2479,0642807009,232,244,276,245
2480,0642807010,38,45,43,47
2481,0642807011,22,28,32,30
2482,0642807012,41,47,55,49
2483,0642807013,77,84,93,91
2484,0642808001,98,106,110,105
2485,0642808002,97,113,121,111
2486,0642808003,217,262,278,221
2487,0642808004,63,62,75,54
2488,0642808005,245,281,292,276
2489,0642808006,175,184,216,186
2490,0642808007,103,110,111,97
2491,0642808008,80,100,106,95
2492,0642808009,201,209,237,221
2493,0642809001,95,102,93,92
2494,0642809002,554,578,600,526
2495,0642809003,109,124,124,115
2496,0642809004,101,109,111,109
2497,0642809005,292,271,302,271
2498,0642809006,273,378,468,398
2499,0642810001,458,494,514,499
2500,0642810002,69,69,72,66
2501,0642810003,252,273,284,272
2502,0642810004,105,122,126,123
2503,0642810005,434,474,475,476
2504,0642810006,85,95,94,88
2505,0642810007,248,243,263,259
2506,0642810008,107,113,119,117
2507,0646101001,244,260,260,249
2508,0646101002,188,207,199,182
2509,0646101003,299,320,315,294
2510,0646101004,292,312,309,294
2511,0646101005,89,99,95,77
2512,0646101006,165,204,187,172
2513,0646101007,396,418,405,376
2514,0646101008,190,200,194,196
2515,0646101009,129,135,135,134
2516,0646101010,123,135,135,113
2517,0646101011,120,126,124,123
2518,0646101012,458,492,484,470
2519,0646102001,82,82,88,79
2520,0646102002,114,144,168,163
2521,0646102003,413,445,436,414
2522,0646102004,52,52,53,54
2523,0646102005,179,196,195,189
2524,0646102006,18,21,21,19
2525,0646102007,35,42,41,39
2526,0646102008,118,121,115,111
2527,0646102009,45,48,47,47
2528,0646102010,55,56,55,55
2529,0646102011,42,53,47,47
2530,0646102012,692,918,817,814
2531,0646102013,127,143,141,140
2532,0646102014,156,190,188,191
2533,0646102015,136,231,167,135
2534,0646102017,70,143,112,89
2535,0646102018,309,368,394,313
2536,0646102019,358,497,427,395
2537,0646102020,547,719,604,610
2538,0646102021,2,8,8,7
2539,0646102022,12,14,12,6
2540,0646102023,23,39,27,17
2541,0646103001,3,3,3,3
2542,0646103006,57,77,74,63
2543,0646103007,1,1,1,1
2544,0646104001,142,162,203,206
2545,0646104002,23,26,26,17
2546,0646104003,261,292,302,246
2547,0646104004,109,130,139,113
2548,0646104005,53,63,82,66
2549,0646104006,85,96,102,91
2550,0646104007,125,135,149,124
2551,0646104008,157,210,208,192
2552,0646104009,142,152,154,127
2553,0646104010,156,190,198,192
2554,0646104011,114,123,121,116
2555,0646104012,303,372,377,367
2556,0646104013,173,185,172,177
2557,0646104014,284,329,340,327
2558,0646104015,114,135,142,136
2559,0646104016,293,349,340,332
2560,0646104017,96,113,115,99
2561,0646104018,235,265,259,249
2562,0646105001,152,158,158,150
2563,0646105002,153,172,164,161
2564,0646105003,260,324,274,262
2565,0646105004,161,194,184,164
2566,0646105005,356,449,424,435
2567,0646105006,351,364,337,361
2568,0646105007,275,285,264,280
2569,0646105008,129,137,131,133
2570,0646105009,93,103,103,102
2571,0646105010,112,123,122,121
2572,0646105011,5,9,8,9
2573,0646105012,128,134,129,130
2574,0646105013,0,0,1,0
2575,0646105017,55,129,54,49
2576,0646106001,5,4,4,4
2577,0646106002,1,1,1,0
2578,0646106003,15,8,19,13
2579,0646106004,15,17,16,13
2580,0646106005,212,231,231,185
2581,0646106006,80,85,78,83
